DUMMY,taxon_order,category,species_code,primary_com_name,sci_name
,10771,species,runpic1,Rusty-necked Piculet,Picumnus fuscus
,10772,species,rubpic1,Rufous-breasted Piculet,Picumnus rufiventris
,10776,species,ochpic1,Ochraceous Piculet,Picumnus limae
,10777,species,motpic1,Mottled Piculet,Picumnus nebulosus
,10778,species,plbpic1,Plain-breasted Piculet,Picumnus castelnau
,10779,species,fibpic1,Fine-barred Piculet,Picumnus subtilis
,10780,species,olipic1,Olivaceous Piculet,Picumnus olivaceus
,10787,species,grapic1,Grayish Piculet,Picumnus granadensis
,10790,species,chepic1,Chestnut Piculet,Picumnus cinnamomeus
,10796,spuh,newpic1,new world piculet sp.,Picumnus sp.
,10797,species,afrpic1,African Piculet,Verreauxia africana
,10798,species,rufpic1,Rufous Piculet,Sasia abnormis
,10801,species,whbpic3,White-browed Piculet,Sasia ochracea
,10805,slash,y00401,Rufous/White-browed Piculet,Sasia abnormis/ochracea
,10806,species,antpic1,Antillean Piculet,Nesoctites micromegas
,10809,species,gabwoo3,Gray-and-buff Woodpecker,Hemicircus concretus
,10810,issf,gabwoo2,Gray-and-buff Woodpecker (Gray-and-buff),Hemicircus concretus sordidus
,10811,issf,gabwoo4,Gray-and-buff Woodpecker (Red-crested),Hemicircus concretus concretus
,10812,species,heswoo1,Heart-spotted Woodpecker,Hemicircus canente
,10813,species,wilsap,Williamson's Sapsucker,Sphyrapicus thyroideus
,10816,species,yebsap,Yellow-bellied Sapsucker,Sphyrapicus varius
,10817,species,rensap,Red-naped Sapsucker,Sphyrapicus nuchalis
,10818,hybrid,x00634,Yellow-bellied x Red-naped Sapsucker (hybrid),Sphyrapicus varius x nuchalis
,10819,slash,y00019,Yellow-bellied/Red-naped Sapsucker,Sphyrapicus varius/nuchalis
,10820,species,rebsap,Red-breasted Sapsucker,Sphyrapicus ruber
,10821,issf,rebsap1,Red-breasted Sapsucker (ruber),Sphyrapicus ruber ruber
,10822,issf,rebsap2,Red-breasted Sapsucker (daggetti),Sphyrapicus ruber daggetti
,10823,hybrid,x00712,Yellow-bellied x Red-breasted Sapsucker (hybrid),Sphyrapicus varius x ruber
,10824,hybrid,rnxsap1,Red-naped x Red-breasted Sapsucker (hybrid),Sphyrapicus nuchalis x ruber
,10825,slash,y00789,Red-naped/Red-breasted Sapsucker,Sphyrapicus nuchalis/ruber
,10826,spuh,sapsuc,sapsucker sp.,Sphyrapicus sp.
,10827,species,cugwoo1,Cuban Green Woodpecker,Xiphidiopicus percussus
,10830,species,whiwoo1,White Woodpecker,Melanerpes candidus
,10831,species,lewwoo,Lewis's Woodpecker,Melanerpes lewis
,10832,species,guawoo1,Guadeloupe Woodpecker,Melanerpes herminieri
,10833,species,purwoo1,Puerto Rican Woodpecker,Melanerpes portoricensis
,10834,species,rehwoo,Red-headed Woodpecker,Melanerpes erythrocephalus
,10835,species,acowoo,Acorn Woodpecker,Melanerpes formicivorus
,10836,issf,acowoo1,Acorn Woodpecker (Acorn),Melanerpes formicivorus [formicivorus Group]
,10843,issf,acowoo2,Acorn Woodpecker (Narrow-fronted),Melanerpes formicivorus angustifrons
