DUMMY,taxon_order,category,species_code,primary_com_name,sci_name
,2,species,ostric2,Common Ostrich,Struthio camelus
,7,species,ostric3,Somali Ostrich,Struthio molybdophanes
,8,slash,y00934,Common/Somali Ostrich,Struthio camelus/molybdophanes
,10,species,grerhe1,Greater Rhea,Rhea americana
,16,species,lesrhe2,Lesser Rhea,Rhea pennata
,17,issf,lesrhe4,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi
,20,issf,lesrhe3,Lesser Rhea (Darwin's),Rhea pennata pennata
,22,species,tabtin1,Tawny-breasted Tinamou,Nothocercus julius
,23,species,higtin1,Highland Tinamou,Nothocercus bonapartei
,24,issf,higtin2,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group]
,29,issf,higtin3,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii
,30,species,hootin1,Hooded Tinamou,Nothocercus nigrocapillus
,33,species,grytin1,Gray Tinamou,Tinamus tao
,38,species,soltin1,Solitary Tinamou,Tinamus solitarius
,39,species,blatin1,Black Tinamou,Tinamus osgoodi
,42,species,gretin1,Great Tinamou,Tinamus major
,55,species,whttin1,White-throated Tinamou,Tinamus guttatus
,56,spuh,tinamu1,Tinamus sp.,Tinamus sp.
,57,species,cintin1,Cinereous Tinamou,Crypturellus cinereus
,58,species,bertin1,Berlepsch's Tinamou,Crypturellus berlepschi
,59,species,littin1,Little Tinamou,Crypturellus soui
,74,species,teptin1,Tepui Tinamou,Crypturellus ptaritepui
,75,species,brotin1,Brown Tinamou,Crypturellus obsoletus
,76,issf,brntin1,Brown Tinamou (castaneus),Crypturellus obsoletus castaneus
,77,issf,brntin2,Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group]
,86,species,undtin1,Undulated Tinamou,Crypturellus undulatus
,93,species,pabtin1,Pale-browed Tinamou,Crypturellus transfasciatus
,94,species,bratin1,Brazilian Tinamou,Crypturellus strigulosus
,95,species,gyltin1,Gray-legged Tinamou,Crypturellus duidae
,96,species,reltin1,Red-legged Tinamou,Crypturellus erythropus
,104,species,yeltin1,Yellow-legged Tinamou,Crypturellus noctivagus
,105,issf,yeltin2,Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele
,106,issf,yeltin3,Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus
,107,species,blctin1,Black-capped Tinamou,Crypturellus atrocapillus
,110,species,slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi
,113,species,chotin1,Choco Tinamou,Crypturellus kerriae
,114,species,vartin1,Variegated Tinamou,Crypturellus variegatus
,115,species,thitin1,Thicket Tinamou,Crypturellus cinnamomeus
,116,issf,thitin2,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis
,117,issf,thitin3,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group]
,126,species,rustin1,Rusty Tinamou,Crypturellus brevirostris
,127,species,bartin2,Bartlett's Tinamou,Crypturellus bartletti
,128,species,smbtin1,Small-billed Tinamou,Crypturellus parvirostris
,129,species,bartin1,Barred Tinamou,Crypturellus casiquiare
,130,species,tattin1,Tataupa Tinamou,Crypturellus tataupa
,135,spuh,cryptu1,Crypturellus sp.,Crypturellus sp.
,136,species,rewtin1,Red-winged Tinamou,Rhynchotus rufescens
,140,species,huatin1,Huayco Tinamou,Rhynchotus maculicollis
,141,species,tactin1,Taczanowski's Tinamou,Nothoprocta taczanowskii
,142,species,orntin1,Ornate Tinamou,Nothoprocta ornata
,146,species,chitin1,Chilean Tinamou,Nothoprocta perdicaria
,149,species,brutin1,Brushland Tinamou,Nothoprocta cinerascens
,152,species,andtin1,Andean Tinamou,Nothoprocta pentlandii
,161,species,cubtin1,Curve-billed Tinamou,Nothoprocta curvirostris
,164,spuh,nothop1,Nothoprocta sp.,Nothoprocta sp.
,165,species,whbnot1,White-bellied Nothura,Nothura boraquira
,166,species,lesnot1,Lesser Nothura,Nothura minor
,167,species,darnot1,Darwin's Nothura,Nothura darwinii
,173,species,sponot1,Spotted Nothura,Nothura maculosa
,183,species,dwatin1,Dwarf Tinamou,Taoniscus nanus
,184,species,elctin1,Elegant Crested-Tinamou,Eudromia elegans
,195,species,quctin1,Quebracho Crested-Tinamou,Eudromia formosa
,198,species,puntin1,Puna Tinamou,Tinamotis pentlandii
,199,species,pattin1,Patagonian Tinamou,Tinamotis ingoufi
,200,spuh,tinamo1,tinamou sp.,Tinamidae sp.
,202,species,soucas1,Southern Cassowary,Casuarius casuarius
,203,species,dwacas1,Dwarf Cassowary,Casuarius bennetti
,204,species,norcas1,Northern Cassowary,Casuarius unappendiculatus
,205,species,emu1,Emu,Dromaius novaehollandiae
,211,species,sobkiw1,Southern Brown Kiwi,Apteryx australis
,212,issf,sobkiw2,Southern Brown Kiwi (South I.),Apteryx australis australis
,213,issf,sobkiw3,Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi
,214,species,okbkiw1,Okarito Brown Kiwi,Apteryx rowi
,215,species,nibkiw1,North Island Brown Kiwi,Apteryx mantelli
,216,species,liskiw1,Little Spotted Kiwi,Apteryx owenii
,217,species,grskiw1,Great Spotted Kiwi,Apteryx haastii
,218,spuh,kiwi1,kiwi sp.,Apteryx sp.
,220,species,horscr1,Horned Screamer,Anhima cornuta
,221,species,souscr1,Southern Screamer,Chauna torquata
,222,species,norscr1,Northern Screamer,Chauna chavaria
,224,species,maggoo1,Magpie Goose,Anseranas semipalmata
,226,species,spwduc1,Spotted Whistling-Duck,Dendrocygna guttata
,227,species,plwduc1,Plumed Whistling-Duck,Dendrocygna eytoni
,228,species,wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata
,229,hybrid,x00721,Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata
,230,species,bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis
,231,issf,bkbwhd1,Black-bellied Whistling-Duck (fulgens),Dendrocygna autumnalis fulgens
,232,issf,bkbwhd2,Black-bellied Whistling-Duck (autumnalis),Dendrocygna autumnalis autumnalis
,233,species,wiwduc1,West Indian Whistling-Duck,Dendrocygna arborea
,234,hybrid,x00775,Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea
,235,species,fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor
,236,hybrid,x00938,White-faced x Fulvous Whistling-Duck (hybrid),Dendrocygna viduata x bicolor
,237,hybrid,x00875,Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor
,238,species,wawduc1,Wandering Whistling-Duck,Dendrocygna arcuata
,242,hybrid,x00990,Plumed x Wandering Whistling-Duck (hybrid),Dendrocygna eytoni x arcuata
,243,species,lewduc1,Lesser Whistling-Duck,Dendrocygna javanica
,244,slash,y01080,Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica
,245,hybrid,x00360,Wandering x Lesser Whistling-Duck (hybrid),Dendrocygna arcuata x javanica
,246,spuh,whistl1,whistling-duck sp.,Dendrocygna sp.
,247,species,whbduc1,White-backed Duck,Thalassornis leuconotus
,250,species,bahgoo,Bar-headed Goose,Anser indicus
,251,species,empgoo,Emperor Goose,Anser canagicus
,252,species,snogoo,Snow Goose,Anser caerulescens
,255,hybrid,x00991,Bar-headed x Snow Goose (hybrid),Anser indicus x caerulescens
,256,species,rosgoo,Ross's Goose,Anser rossii
,257,hybrid,sxrgoo1,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii
,258,slash,y00469,Snow/Ross's Goose,Anser caerulescens/rossii
,259,species,gragoo,Graylag Goose,Anser anser
,260,issf,gragoo2,Graylag Goose (European),Anser anser anser
,261,issf,gragoo3,Graylag Goose (Siberian),Anser anser rubrirostris
,262,domestic,gragoo1,Graylag Goose (Domestic type),Anser anser (Domestic type)
,263,hybrid,x00992,Bar-headed x Graylag Goose (hybrid),Anser indicus x anser
,264,species,swagoo1,Swan Goose,Anser cygnoides
,265,domestic,swagoo2,Swan Goose (Domestic type),Anser cygnoides (Domestic type)
,266,hybrid,x00776,Graylag x Swan Goose (hybrid),Anser anser x cygnoides
,267,species,gwfgoo,Greater White-fronted Goose,Anser albifrons
,268,issf,gwfgoo1,Greater White-fronted Goose (Greenland),Anser albifrons flavirostris
,269,issf,gwfgoo4,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons
,270,issf,gwfgoo2,Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa
,273,issf,gwfgoo3,Greater White-fronted Goose (Tule),Anser albifrons elgasi
,274,hybrid,x00755,Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons
,275,hybrid,x00361,Emperor x Greater White-fronted Goose (hybrid),Anser canagicus x albifrons
,276,hybrid,x00627,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons
,277,hybrid,x00362,Ross's x Greater White-fronted Goose (hybrid),Anser rossii x albifrons
,278,species,lwfgoo,Lesser White-fronted Goose,Anser erythropus
,279,slash,y00707,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus
,280,species,taibeg1,Taiga Bean-Goose,Anser fabalis
,284,species,tunbeg1,Tundra Bean-Goose,Anser serrirostris
,287,slash,y00468,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris
,288,species,pifgoo,Pink-footed Goose,Anser brachyrhynchus
,289,domestic,domgoo1,Domestic goose sp. (Domestic type),Anser sp. (Domestic type)
,290,spuh,anser1,Anser sp.,Anser sp.
,291,species,brant,Brant,Branta bernicla
,292,issf,dabbra1,Brant (Dark-bellied),Branta bernicla bernicla
,293,issf,atlbra1,Brant (Atlantic),Branta bernicla hrota
,294,issf,blkbra1,Brant (Black),Branta bernicla nigricans
,295,form,gybbra1,Brant (Gray-bellied),Branta bernicla (Gray-bellied)
,296,intergrade,brant2,Brant (Dark-bellied x Black),Branta bernicla bernicla x nigricans
,297,intergrade,brant1,Brant (Atlantic x Black),Branta bernicla hrota x nigricans
,298,hybrid,x00685,Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla
,299,species,bargoo,Barnacle Goose,Branta leucopsis
,300,hybrid,x00363,Bar-headed x Barnacle Goose (hybrid),Anser indicus x Branta leucopsis
,301,hybrid,x00993,Emperor x Barnacle Goose (hybrid),Anser canagicus x Branta leucopsis
,302,hybrid,x00994,Snow x Barnacle Goose (hybrid),Anser caerulescens x Branta leucopsis
,303,hybrid,x00995,Ross's x Barnacle Goose (hybrid),Anser rossii x Branta leucopsis
,304,hybrid,x00649,Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis
,305,hybrid,x00757,Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis
,306,hybrid,x00364,Lesser White-fronted x Barnacle Goose (hybrid),Anser erythropus x Branta leucopsis
,307,hybrid,x00756,Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis
,308,species,cacgoo1,Cackling Goose,Branta hutchinsii
,309,issf,alcgoo1,Cackling Goose (Aleutian),Branta hutchinsii leucopareia
,310,issf,ricgoo1,Cackling Goose (Richardson's),Branta hutchinsii hutchinsii
,311,issf,cacgoo2,Cackling Goose (minima),Branta hutchinsii minima
,312,issf,tacgoo1,Cackling Goose (Taverner's),Branta hutchinsii taverneri
,313,hybrid,x00831,Emperor x Cackling Goose (hybrid),Anser canagicus x Branta hutchinsii
,314,hybrid,x00692,Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii
,315,hybrid,x00694,Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii
,316,hybrid,x00722,Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii
,317,hybrid,x00414,Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii
,318,hybrid,x00416,Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii
,319,species,cangoo,Canada Goose,Branta canadensis
,320,issf,cangoo4,Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima
,323,issf,cangoo3,Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva
,326,issf,cangoo1,Canada Goose (canadensis Group),Branta canadensis [canadensis Group]
,330,hybrid,x00908,Bar-headed x Canada Goose (hybrid),Anser indicus x Branta canadensis
,331,hybrid,swagoo3,Swan Goose x Canada Goose (hybrid),Anser cygnoides x Branta canadensis
,332,hybrid,x00650,Pink-footed x Canada Goose (hybrid),Anser brachyrhynchus x Branta canadensis
,333,hybrid,x00415,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis
,334,hybrid,x00758,Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis
,335,hybrid,x00759,Domestic goose sp. x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis
,336,hybrid,x00197,Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis
,337,hybrid,x00693,Ross's x Canada Goose (hybrid),Anser rossii x Branta canadensis
,338,hybrid,x00417,Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis
,339,slash,y00470,Cackling/Canada Goose,Branta hutchinsii/canadensis
,340,hybrid,y00765,Snow/Ross's x Cackling/Canada Goose (hybrid),Anser caerulescens/rossii x Branta hutchinsii/canadensis
,341,species,hawgoo,Hawaiian Goose,Branta sandvicensis
,342,species,rebgoo1,Red-breasted Goose,Branta ruficollis
,343,hybrid,x00939,Greater White-fronted x Red-breasted Goose (hybrid),Anser albifrons x Branta ruficollis
,344,hybrid,x00996,Brant x Red-breasted Goose (hybrid),Branta bernicla x ruficollis
,345,hybrid,x00365,Barnacle x Red-breasted Goose (hybrid),Branta leucopsis x ruficollis
,346,spuh,branta1,Branta sp.,Branta sp.
,347,spuh,goose1,goose sp.,Anatidae (goose sp.)
,348,species,cabgoo1,Cape Barren Goose,Cereopsis novaehollandiae
,351,species,freduc1,Freckled Duck,Stictonetta naevosa
,352,species,buwgoo1,Blue-winged Goose,Cyanochen cyanoptera
,353,species,mutswa,Mute Swan,Cygnus olor
,354,hybrid,x00366,Graylag Goose x Mute Swan (hybrid),Anser anser x Cygnus olor
,355,species,blkswa,Black Swan,Cygnus atratus
,356,hybrid,x01037,Mute x Black Swan (hybrid),Cygnus olor x atratus
,357,species,blnswa2,Black-necked Swan,Cygnus melancoryphus
,358,species,truswa,Trumpeter Swan,Cygnus buccinator
,359,hybrid,x00832,Mute x Trumpeter Swan (hybrid),Cygnus olor x buccinator
,360,species,tunswa,Tundra Swan,Cygnus columbianus
,361,issf,tunswa1,Tundra Swan (Whistling),Cygnus columbianus columbianus
,362,issf,bewswa1,Tundra Swan (Bewick's),Cygnus columbianus bewickii
,363,intergrade,tunswa2,Tundra Swan (Whistling x Bewick's),Cygnus columbianus columbianus x bewickii
,364,hybrid,x00418,Trumpeter x Tundra Swan (hybrid),Cygnus buccinator x columbianus
,365,slash,y00471,Trumpeter/Tundra Swan,Cygnus buccinator/columbianus
,366,species,whoswa,Whooper Swan,Cygnus cygnus
,367,hybrid,x00997,Mute x Whooper Swan (hybrid),Cygnus olor x cygnus
,368,hybrid,x00419,Trumpeter x Whooper Swan (hybrid),Cygnus buccinator x cygnus
,369,slash,y00708,Tundra/Whooper Swan,Cygnus columbianus/cygnus
,370,spuh,swan1,swan sp.,Cygnus sp.
,371,species,cosswa1,Coscoroba Swan,Coscoroba coscoroba
,372,species,comduc2,Knob-billed Duck,Sarkidiornis melanotos
,373,species,comduc3,Comb Duck,Sarkidiornis sylvicola
,374,species,harduc1,Hartlaub's Duck,Pteronetta hartlaubii
,375,species,origoo1,Orinoco Goose,Oressochen jubatus
,376,species,andgoo1,Andean Goose,Oressochen melanopterus
,377,species,uplgoo1,Upland Goose,Chloephaga picta
,380,form,uplgoo2,Upland Goose (White-breasted),Chloephaga picta (White-breasted)
,381,form,uplgoo3,Upland Goose (Bar-breasted),Chloephaga picta (Bar-breasted)
,382,species,kelgoo1,Kelp Goose,Chloephaga hybrida
,385,species,ashgoo1,Ashy-headed Goose,Chloephaga poliocephala
,386,species,ruhgoo1,Ruddy-headed Goose,Chloephaga rubidiceps
,387,spuh,chloep1,Chloephaga sp.,Chloephaga sp.
,388,species,radshe1,Radjah Shelduck,Radjah radjah
,391,species,egygoo,Egyptian Goose,Alopochen aegyptiaca
,392,species,maushe1,Mauritius Shelduck,Alopochen mauritiana
,393,species,reushe1,Reunion Shelduck,Alopochen kervazoi
,394,species,rudshe,Ruddy Shelduck,Tadorna ferruginea
,395,hybrid,x00367,Egyptian Goose x Ruddy Shelduck (hybrid),Alopochen aegyptiaca x Tadorna ferruginea
,396,species,soashe1,South African Shelduck,Tadorna cana
,397,species,ausshe1,Australian Shelduck,Tadorna tadornoides
,398,species,parshe1,Paradise Shelduck,Tadorna variegata
,399,species,comshe,Common Shelduck,Tadorna tadorna
,400,hybrid,x00876,Ruddy x Common Shelduck (hybrid),Tadorna ferruginea x tadorna
,401,species,creshe1,Crested Shelduck,Tadorna cristata
,402,species,spwgoo1,Spur-winged Goose,Plectropterus gambensis
,403,issf,spwgoo2,Spur-winged Goose (Northern),Plectropterus gambensis gambensis
,404,issf,spwgoo3,Spur-winged Goose (Southern),Plectropterus gambensis niger
,405,species,flystd1,Flying Steamer-Duck,Tachyeres patachonicus
,406,species,flistd1,Flightless Steamer-Duck,Tachyeres pteneres
,407,form,flistd2,Flightless Steamer-Duck (Chiloe form),Tachyeres pteneres [undescribed form]
,408,species,falstd1,Falkland Steamer-Duck,Tachyeres brachypterus
,409,species,whhstd1,White-headed Steamer-Duck,Tachyeres leucocephalus
,410,spuh,steame1,steamer-duck sp.,Tachyeres sp.
,411,species,creduc1,Crested Duck,Lophonetta specularioides
,414,species,speduc2,Spectacled Duck,Speculanas specularis
,415,species,musduc,Muscovy Duck,Cairina moschata
,416,domestic,musduc3,Muscovy Duck (Domestic type),Cairina moschata (Domestic type)
,417,species,grnpyg1,Green Pygmy-Goose,Nettapus pulchellus
,418,species,copgoo1,Cotton Pygmy-Goose,Nettapus coromandelianus
,421,species,afrpyg1,African Pygmy-Goose,Nettapus auritus
,422,species,rintea1,Ringed Teal,Callonetta leucophrys
,423,species,wooduc,Wood Duck,Aix sponsa
,424,hybrid,x00940,Common Shelduck x Wood Duck (hybrid),Tadorna tadorna x Aix sponsa
,425,species,manduc,Mandarin Duck,Aix galericulata
,426,hybrid,x00833,Wood x Mandarin Duck (hybrid),Aix sponsa x galericulata
,427,species,manduc1,Maned Duck,Chenonetta jubata
,428,species,finduc1,Finsch's Duck,Chenonetta finschi
,429,species,bratea1,Brazilian Teal,Amazonetta brasiliensis
,432,species,bluduc1,Blue Duck,Hymenolaimus malacorhynchos
,435,species,torduc1,Torrent Duck,Merganetta armata
,442,species,saltea1,Salvadori's Teal,Salvadorina waigiuensis
,443,species,baitea,Baikal Teal,Sibirionetta formosa
,444,species,gargan,Garganey,Spatula querquedula
,445,species,hottea1,Blue-billed Teal,Spatula hottentota
,446,species,siltea1,Silver Teal,Spatula versicolor
,449,species,puntea1,Puna Teal,Spatula puna
,450,species,buwtea,Blue-winged Teal,Spatula discors
,451,species,cintea,Cinnamon Teal,Spatula cyanoptera
,457,hybrid,bwxtea1,Blue-winged x Cinnamon Teal (hybrid),Spatula discors x cyanoptera
,458,slash,y00314,Blue-winged/Cinnamon Teal,Spatula discors/cyanoptera
,459,species,redsho1,Red Shoveler,Spatula platalea
,460,species,capsho1,Cape Shoveler,Spatula smithii
,461,species,aussho1,Australasian Shoveler,Spatula rhynchotis
,464,species,norsho,Northern Shoveler,Spatula clypeata
,465,hybrid,x00836,Garganey x Northern Shoveler (hybrid),Spatula querquedula x clypeata
,466,hybrid,x00629,Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata
,467,hybrid,x00630,Cinnamon Teal x Northern Shoveler (hybrid),Spatula cyanoptera x clypeata
,468,species,gadwal,Gadwall,Mareca strepera
,469,issf,gadwal1,Gadwall (Common),Mareca strepera strepera
,470,issf,gadwal2,Gadwall (Coues's),Mareca strepera couesi
,471,hybrid,x00457,Northern Shoveler x Gadwall (hybrid),Spatula clypeata x Mareca strepera
,472,species,falduc,Falcated Duck,Mareca falcata
,473,hybrid,x00368,Baikal Teal x Falcated Duck (hybrid),Sibirionetta formosa x Mareca falcata
,474,hybrid,x00369,Gadwall x Falcated Duck (hybrid),Mareca strepera x falcata
,475,species,eurwig,Eurasian Wigeon,Mareca penelope
,476,hybrid,x00723,Gadwall x Eurasian Wigeon (hybrid),Mareca strepera x penelope
,477,species,amewig,American Wigeon,Mareca americana
,478,hybrid,x00877,Wood Duck x American Wigeon (hybrid),Aix sponsa x Mareca americana
,479,hybrid,x00370,Blue-winged Teal x American Wigeon (hybrid),Spatula discors x Mareca americana
,480,hybrid,x00777,Northern Shoveler x American Wigeon (hybrid),Spatula clypeata x Mareca americana
,481,hybrid,x00724,Gadwall x American Wigeon (hybrid),Mareca strepera x americana
,482,hybrid,x00421,Eurasian x American Wigeon (hybrid),Mareca penelope x americana
,483,slash,y00670,Eurasian/American Wigeon,Mareca penelope/americana
,484,species,chiwig1,Chiloe Wigeon,Mareca sibilatrix
,485,hybrid,x00998,Eurasian x Chiloe Wigeon (hybrid),Mareca penelope x sibilatrix
,486,species,amsduc1,Amsterdam Duck,Mareca marecula
,487,species,afbduc1,African Black Duck,Anas sparsa
,490,species,yebduc1,Yellow-billed Duck,Anas undulata
,493,species,melduc1,Meller's Duck,Anas melleri
,494,species,pabduc1,Pacific Black Duck,Anas superciliosa
,497,species,layduc,Laysan Duck,Anas laysanensis
,498,species,hawduc,Hawaiian Duck,Anas wyvilliana
,499,species,phiduc1,Philippine Duck,Anas luzonica
,500,species,isbduc1,Indian Spot-billed Duck,Anas poecilorhyncha
,503,species,spbduc,Eastern Spot-billed Duck,Anas zonorhyncha
,504,slash,y00830,Indian/Eastern Spot-billed Duck,Anas poecilorhyncha/zonorhyncha
,505,species,mallar3,Mallard,Anas platyrhynchos
,508,domestic,mallar2,Mallard (Domestic type),Anas platyrhynchos (Domestic type)
,509,hybrid,mdxmal1,Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos
,510,hybrid,x00205,Wood Duck x Mallard (hybrid),Aix sponsa x Anas platyrhynchos
,511,hybrid,x00612,Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos
,512,hybrid,x00420,Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos
,513,hybrid,x00647,Eurasian Wigeon x Mallard (hybrid),Mareca penelope x Anas platyrhynchos
,514,hybrid,x00611,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos
,515,hybrid,x00760,Yellow-billed Duck x Mallard (hybrid),Anas undulata x platyrhynchos
,516,hybrid,x00458,Mallard x Pacific Black Duck (hybrid),Anas platyrhynchos x superciliosa
,517,hybrid,x00423,Mallard x Hawaiian Duck (hybrid),Anas platyrhynchos x wyvilliana
,518,hybrid,x00834,Mallard x Indian Spot-billed Duck (hybrid),Anas platyrhynchos x poecilorhyncha
,519,hybrid,x00835,Mallard x Eastern Spot-billed Duck (hybrid),Anas platyrhynchos x zonorhyncha
,520,slash,y01128,Mallard/Pacific Black Duck,Anas platyrhynchos/superciliosa
,521,slash,y01129,Mallard/Hawaiian Duck,Anas platyrhynchos/wyvilliana
,522,slash,y01130,Mallard/Indian Spot-billed Duck,Anas platyrhynchos/poecilorhyncha
,523,slash,y01131,Mallard/Eastern Spot-billed Duck,Anas platyrhynchos/zonorhyncha
,524,species,mexduc,Mexican Duck,Anas diazi
,525,hybrid,mallar4,Mallard x Mexican Duck (hybrid),Anas platyrhynchos x diazi
,526,slash,mallar,Mallard/Mexican Duck,Anas platyrhynchos/diazi
,527,species,ambduc,American Black Duck,Anas rubripes
,528,hybrid,x00941,American Wigeon x American Black Duck (hybrid),Mareca americana x Anas rubripes
,529,hybrid,x00004,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes
,530,slash,y00600,Mallard/American Black Duck,Anas platyrhynchos/rubripes
,531,species,motduc,Mottled Duck,Anas fulvigula
,532,issf,motduc1,Mottled Duck (Florida),Anas fulvigula fulvigula
,533,issf,motduc2,Mottled Duck (Gulf Coast),Anas fulvigula maculosa
,534,hybrid,x00422,Mallard x Mottled Duck (hybrid),Anas platyrhynchos x fulvigula
,535,slash,y00632,Mallard/Mottled Duck,Anas platyrhynchos/fulvigula
,536,hybrid,y01098,Mallard x Mexican/Mottled Duck (hybrid),Anas platyrhynchos x diazi/fulvigula
,537,hybrid,x00922,Mexican x Mottled Duck (hybrid),Anas diazi x fulvigula
,538,slash,y01099,Mexican/Mottled Duck,Anas diazi/fulvigula
,539,slash,y00633,American Black/Mottled Duck,Anas rubripes/fulvigula
,540,species,captea1,Cape Teal,Anas capensis
,541,species,whcpin,White-cheeked Pintail,Anas bahamensis
,542,issf,whcpin1,White-cheeked Pintail (White-cheeked),Anas bahamensis bahamensis/rubrirostris
,545,issf,whcpin2,White-cheeked Pintail (Galapagos),Anas bahamensis galapagensis
,546,hybrid,x00778,Mallard x White-cheeked Pintail (hybrid),Anas platyrhynchos x bahamensis
,547,species,rebduc1,Red-billed Duck,Anas erythrorhyncha
,548,species,norpin,Northern Pintail,Anas acuta
,549,hybrid,x00837,Baikal Teal x Northern Pintail (hybrid),Sibirionetta formosa x Anas acuta
,550,hybrid,x00610,Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta
,551,hybrid,x00761,Eurasian Wigeon x Northern Pintail (hybrid),Mareca penelope x Anas acuta
,552,hybrid,x00196,American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta
,553,hybrid,x00628,Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta
,554,hybrid,x00674,American Black Duck x Northern Pintail (hybrid),Anas rubripes x acuta
,555,species,eatpin1,Eaton's Pintail,Anas eatoni
,558,species,yebpin1,Yellow-billed Pintail,Anas georgica
,559,issf,yebpin2,Yellow-billed Pintail (South Georgia),Anas georgica georgica
,560,issf,yebpin3,Yellow-billed Pintail (South American),Anas georgica spinicauda/niceforoi
,563,species,gnwtea,Green-winged Teal,Anas crecca
,564,issf,egwtea1,Green-winged Teal (Eurasian),Anas crecca crecca
,565,issf,agwtea1,Green-winged Teal (American),Anas crecca carolinensis
,566,intergrade,gnwtea1,Green-winged Teal (Eurasian x American),Anas crecca crecca x carolinensis
,567,hybrid,x00999,Baikal x Green-winged Teal (hybrid),Sibirionetta formosa x Anas crecca
,568,hybrid,x00371,Garganey x Green-winged Teal (hybrid),Spatula querquedula x Anas crecca
,569,slash,y00766,Garganey/Green-winged Teal,Spatula querquedula/Anas crecca
,570,hybrid,x00673,Blue-winged x Green-winged Teal (hybrid),Spatula discors x Anas crecca
,571,hybrid,x00763,Cinnamon x Green-winged Teal (hybrid),Spatula cyanoptera x Anas crecca
,572,hybrid,x00762,Gadwall x Green-winged Teal (hybrid),Mareca strepera x Anas crecca
,573,hybrid,x00372,Eurasian Wigeon x Green-winged Teal (hybrid),Mareca penelope x Anas crecca
,574,hybrid,x00646,American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca
,575,hybrid,x00670,Mallard x Green-winged Teal (hybrid),Anas platyrhynchos x crecca
,576,hybrid,x00725,Northern Pintail x Green-winged Teal (hybrid),Anas acuta x crecca
,577,species,spetea3,Andean Teal,Anas andium
,578,issf,andtea2,Andean Teal (Merida),Anas andium altipetens
,579,issf,andtea3,Andean Teal (Andean),Anas andium andium
,580,species,yebtea1,Yellow-billed Teal,Anas flavirostris
,581,issf,spetea2,Yellow-billed Teal (flavirostris),Anas flavirostris flavirostris
,582,issf,spetea4,Yellow-billed Teal (oxyptera),Anas flavirostris oxyptera
,583,slash,y00367,Yellow-billed Pintail/Yellow-billed Teal,Anas georgica/flavirostris
,584,slash,spetea1,Andean/Yellow-billed Teal,Anas andium/flavirostris
